mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Honor 10 Lite (Sapphire Blue, 64 GB)  (4 GB RAM)",HRY-AL00,Dual Sim,15.77 cm (6.21 inch),2340 x 1080 pixels,Kirin 710 2.2GHz Octa Core,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3400 mAh
"Redmi 7 (Eclipse Black, 32 GB)  (2 GB RAM)",Redmi 7,Dual Sim,15.9 cm (6.26 inch),720 x 1520$$Pixels,Octa Core,32 GB,2 GB,12MP,"3G, 4G VOLTE, 2G",4000 mAh
"Realme 2 Pro (Blue Ocean, 64 GB)  (6 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,6 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Apple iPhone 7 (Rose Gold, 32 GB)",MN912HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP,"3G, 4G VOLTE, 2G"
"Redmi Note 5 Pro (Gold, 64 GB)  (4 GB RAM)",MZB6080IN / MZB6088IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Qualcomm Snapdragon 636,Octa Core,64 GB,4 GB,12MP + 5MP,"3G, 4G VOLTE, 4G",4000 mAh
"Honor 8C (Blue, 64 GB)  (4 GB RAM)",BKK-AL10,Dual Sim,15.9 cm (6.26 inch),720 x 1520 Pixels,Qualcomm Snapdragon 632,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 2G",4000 mAh
"Honor 8C (Black, 64 GB)  (4 GB RAM)",BKK-AL10,Dual Sim,15.9 cm (6.26 inch),720 x 1520 Pixels,Qualcomm Snapdragon 632,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 2G",4000 mAh
"iVooMi Z1 (Ocean Blue, 16 GB)  (2 GB RAM)",IV104,Dual Sim,14.4 cm (5.67 inch),1498 x 720 pixels,MTK6739W,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",2800 mAh
"Realme X (Space Blue, 128 GB)  (4 GB RAM)",RMX1901,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,128 GB,4 GB,48MP + 5MP,"4G, 3G, 2G",3765 mAh
"Realme X (Polar White, 128 GB)  (8 GB RAM)",RMX1901,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,128 GB,8 GB,48MP + 5MP,"4G, 3G, 2G",3765 mAh
Lava A1  (Glossy Blue),Lava A1,Dual Sim,4.5 cm (1.77 inch),240x320 Pixels,24 MB,24 MB,0.3MP,2G,800 mAh
"POCO F1 by Xiaomi (Steel Blue, 256 GB)  (8 GB RAM)",MZB6650IN,Dual Sim,15.7 cm (6.18 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845,Octa Core,256 GB,8 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Vivo V17Pro (Glacier Ice White, 128 GB)  (8 GB RAM)","Vivo 1909, PD1931F_EX",Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 675 AIE,Octa Core,128 GB,8 GB,"48MP + 13, 8, 2MP","4G, 3G, 2G",4100 mAh
"Samsung Galaxy A50 (Black, 64 GB)  (4 GB RAM)",SM-A505FZKDINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 9610,Octa Core,64 GB,4 GB,25MP + 5MP + 8MP,"3G, 4G, 2G",4000 mAh
"Mi A3 (More Than White, 128 GB)  (6 GB RAM)",Redmi A3,Dual Sim,15.44 cm (6.08 inch),1560 x 720$$Pixels,Qualcomm Snapdragon 665 octa core,Octa Core,128 GB,6 GB,48MP + 8MP,"4G VOLTE, 3G, 2G",4030 mAh
"Mi A2 (Gold, 64 GB)  (4 GB RAM)",MZB6439IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,64 GB,4 GB,20MP + 12MP,"3G, 4G VOLTE, 4G, 2G",3010 mAh
"Vivo V17Pro (Midnight Ocean Black, 128 GB)  (8 GB RAM)","Vivo 1909, PD1931F_EX",Dual Sim,16.36 cm (6.44 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 675 AIE,Octa Core,128 GB,8 GB,"48MP + 13, 8, 2MP","4G, 3G, 2G",4100 mAh
"Vivo Y91 (Starry Black, 32 GB)  (3 GB RAM)",Vivo 1811/PD1818BF_EX,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4030 mAh
"Honor 9i (Aurora Blue, 64 GB)  (4 GB RAM)",RNE-L22,Dual Sim,14.99 cm (5.9 inch),1080 X 2160 Pixels,Huawei Kirin 659 Octa Core Clocked up to 2.36 GHz,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3340 mAh
"Vivo Y90 (Black, 16 GB)  (2 GB RAM)",1908,Dual Sim,15.8 cm (6.22 inch),720 x 1520 pixels,MediaTek Helio A22,Octa Core,16 GB,2 GB,8MP,"4G VOLTE, 3G, 2G",4030 mAh
"Vivo Y90 (Gold, 16 GB)  (2 GB RAM)",1908,Dual Sim,15.8 cm (6.22 inch),720 x 1520 pixels,MediaTek Helio A22,Octa Core,16 GB,2 GB,8MP,"4G VOLTE, 3G, 2G",4030 mAh
"Apple iPhone 8 (Space Grey, 64 GB)",MQ6K2HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor",64 GB,12MP,"3G, 4G, 2G"
"Lenovo K9 (Black, 32 GB)  (3 GB RAM)",PADV0031CN,Dual Sim,14.48 cm (5.7 inch),720 x 1440 pixels,MediaTek P22,Octa Core,32 GB,3 GB,13MP + 5MP,"3G, 4G, 2G",3000 mAh
"OnePlus 7 (Mirror Blue, 128 GB)  (6 GB RAM)",GM1901,Dual Sim,16.28 cm (6.41 inch),2340 x 1080 Pixels,Octa Core,128 GB,6 GB,48MP + 5MP,4G VOLTE,3700 mAh
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)  (6 GB RAM)",MZB8433IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675,Octa Core,64 GB,6 GB,48MP + 5MP,2G,4000 mAh
"Honor 9N (Purple, 64 GB)  (4 GB RAM)",LLD-AL20,Dual Sim,14.83 cm (5.84 inches),2280 x 1080 Pixels,Kirin 659 Octa Core,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Honor 9N (Midnight Black, 64 GB)  (4 GB RAM)",LLD-AL20,Dual Sim,14.83 cm (5.84 inches),2280 x 1080 Pixels,Kirin 659 Octa Core,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Honor 9N (Sapphire Blue, 128 GB)  (4 GB RAM)",LLD-AL20,Dual Sim,14.83 cm (5.84 inches),2280 x 1080 Pixels,Kirin 659 Octa Core,Octa Core,128 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Honor 9N (Midnight Black, 128 GB)  (4 GB RAM)",LLD-AL20,Dual Sim,14.83 cm (5.84 inches),2280 x 1080 Pixels,Kirin 659 Octa Core,Octa Core,128 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Yu Ace (Charcoal Grey, 16 GB)  (2 GB RAM)",YU5014,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,MT6739WW,Quad Core,16 GB,2 GB,13MP,"3G, 4G, 2G",4000 mAh
"iVooMi Z1 (Classic Black, 16 GB)  (2 GB RAM)",IV104,Dual Sim,14.4 cm (5.67 inch),1498 x 720 pixels,MTK6739W,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",2800 mAh
Samsung Guru Music 2  (White),SM-B310EZWDINS,Dual Sim,5.08 cm (2 inch),128 x 160 Pixels,NA 0 Single Core 208MHz,Single Core,NA,2G,800 mAh
"Redmi Note 6 Pro (Black, 64 GB)  (6 GB RAM)",MZB6879IN,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Qualcomm Snapdragon 636,Octa Core,64 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Apple iPhone 7 Plus (Silver, 32 GB)",MNQN2HN/A,Single Sim,13.97 cm (5.5 inch),1920 x 1080 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP + 12MP,"3G, 4G VOLTE, 2G"
Lava A1 Josh  (Black),Lava_A1Lite,Dual Sim,4.57 cm (1.8 inch),128x160$$Pixels,1 KB,4 MB,2G,800 mAh
"Redmi Go (Blue, 16 GB)  (1 GB RAM)",MZB7704IN,Dual Sim,12.7 cm (5 inch),1280 x 720 pixels,Qualcomm Snapdragon 425,Quad Core,16 GB,1 GB,8MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Redmi Note 6 Pro (Blue, 64 GB)  (6 GB RAM)",MZB6883IN,Dual Sim,15.9 cm (6.26 inch),2280 x 1080 pixels,Qualcomm Snapdragon 636,Octa Core,64 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
Micromax X1i Power  (Black),X1i Power,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,0.3MP,2G,1750 mAh
Micromax X412  (Black&Red),X412,Dual Sim,4.5 cm (1.77 inch),320 x 240$$Pixels,32 MB,32 MB,1MP,2G,800 mAh
"OPPO A5 2020 (Dazzling White, 64 GB)  (4 GB RAM)",CPH1933,Dual Sim,16.51 cm (6.5 inch),1600 x 720 Pixels,Qualcomm SM6125,Octa Core,64 GB,4 GB,"12MP + 8, 2, 2MP","4G VOLTE, 4G, 3G, 2G",5000 mAh
Karbonn Jumbo K9  (Black and Red),Dual Sim,6.6 cm (2.6 inch),240 x 320 Pixels,1.3MP,1800 mAh
"Realme U1 (Ambitious Black, 32 GB)  (3 GB RAM)",RMX1831,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 Pixels,Octa Core,32 GB,3 GB,13MP,"3G, 4G, 2G",3500 mAh
"Redmi K20 Pro (Carbon Black, 256 GB)  (8 GB RAM)",MZB7753IN,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 855,Octa Core,256 GB,8 GB,48MP + 13MP + 8MP,"4G VOLTE, 3G, 2G",4000 mAh
"Realme U1 (Brave Blue, 32 GB)  (3 GB RAM)",RMX1831,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 Pixels,Octa Core,32 GB,3 GB,13MP,"3G, 4G, 2G",3500 mAh
"Realme U1 (Fiery Gold, 32 GB)  (3 GB RAM)",RMX1831,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 Pixels,Octa Core,32 GB,3 GB,13MP,"3G, 4G, 2G",3500 mAh
Lava A7  (Rose Gold),A7,Dual Sim,6.1 cm (2.4 inch),240 x 320 pixels,MTK6261M,24 MB,32 MB,0.3MP,2G,1750 mAh
"Redmi 6 Pro (Red, 32 GB)  (3 GB RAM)",M1805D1SI,Dual Sim,14.83 cm (5.84 inch),1080 x 2280 pixels,Qualcomm Snapdragon 625,Octa Core,32 GB,3 GB,12MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Samsung Galaxy A20 (Black, 32 GB)  (3 GB RAM)",SM-A205FZKGINS,Dual Sim,16.26 cm (6.4 inch),720 x 1560 pixels,Exynos 7884B,Octa Core,32 GB,3 GB,13MP + 5MP,"3G, 4G, 2G",4000 mAh
"Honor 8X (Blue, 64 GB)  (4 GB RAM)",JSN-L42,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 Pixels,Kirin 710,Octa Core,64 GB,4 GB,20MP + 2MP,"3G, 4G VOLTE, 2G",3750 mAh
"Karbonn Platinum P9 (Stary Black Blue, 16 GB)  (2 GB RAM)",Platinum P9,Dual Sim,13.84 cm (5.45 inch),480 x 960$$Pixels,Quad Core,16 GB,2 GB,8MP,"3G, 4G, 2G",2500 mAh
"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)  (2 GB RAM)",X627V,Dual Sim,15.77 cm (6.21 inch),1520 x 720 pixels,MediaTek A22 Quad Core 2.0GHz,Quad Core,32 GB,2 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3500 mAh
"Vivo V15 Pro (Topaz Blue, 128 GB)  (8 GB RAM)",Vivo 1818,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz,Octa Core,128 GB,8 GB,48MP + 5MP + 8MP,"3G, 4G VOLTE, 4G, 2G",3700 mAh
I Kall K18 New  (Light Blue),K18 New,Dual Sim,4.57 cm (1.8 inch),160 x 128 Pixels,64 MB,32 MB,0.3MP,2G,800 mAh
Karbonn K2 Boom Box  (Black),K2 Boom Box,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,SC6531DA,32 MB,32 MB,0.08MP,2G,1000 mAh
"Apple iPhone 7 (Silver, 32 GB)",MN8Y2HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP,"3G, 4G VOLTE, 2G"
Karbonn K-Stylo  (Brushed Gold),K-Stylo,Dual Sim,7.11 cm (2.8 inch),240 x 320$$Pixels,32 MB,12 MB,0.8MP,2G,1750 mAh
"Meizu C9 (Gold, 16 GB)  (2 GB RAM)",M818H,Dual Sim,13.84 cm (5.45 inch),720 x 1440$$Pixels,Quad Core,Quad Core,16 GB,2 GB,13MP,"3G, 4G, 2G",3000 mAh
"Lenovo K9 Note (Black, 64 GB)  (4 GB RAM)",PADD0014CN,Dual Sim,15.21 cm (5.99 inch),720 x 1440 pixels,Qualcomm Snapdragon SDM450,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G, 2G",3760 mAh
"OnePlus 7 (Mirror Grey, 256 GB)  (8 GB RAM)",GM1901,Dual Sim,16.28 cm (6.41 inch),2340 x 1080 Pixels,Octa Core,256 GB,8 GB,48MP + 5MP,4G VOLTE,3700 mAh
"OnePlus 7 (Mirror Grey, 128 GB)  (6 GB RAM)",GM1901,Dual Sim,16.28 cm (6.41 inch),2340 x 1080 Pixels,Octa Core,128 GB,6 GB,48MP + 5MP,4G VOLTE,3700 mAh
"OnePlus 7 (Red, 256 GB)  (8 GB RAM)",GM1901,Dual Sim,16.28 cm (6.41 inch),2340 x 1080 Pixels,Octa Core,256 GB,8 GB,48MP + 5MP,4G VOLTE,3700 mAh
"OPPO A1K (Red, 32 GB)  (2 GB RAM)",CPH1923,Dual Sim,15.49 cm (6.1 inch),720 x 1560 pixels,MT6762R,Octa Core,32 GB,2 GB,8MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Realme U1 (Ambitious Black, 64 GB)  (4 GB RAM)",RMX1833,Dual Sim,16.0 cm (6.3 inch),2340 x 1080$$ Pixels,Octa Core,64 GB,4 GB,13MP,"3G, 4G, 2G",3500 mAh
"Realme U1 (Brave Blue, 64 GB)  (4 GB RAM)",RMX1833,Dual Sim,16.0 cm (6.3 inch),2340 x 1080$$ Pixels,Octa Core,64 GB,4 GB,13MP,"3G, 4G, 2G",3500 mAh
Nokia 106  (Grey),TA-1114 / Nokia 106 DS,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,4 MB,4 MB,2G,800 mAh
Samsung Guru FM Plus SM-B110E/D  (White),SM-B110EZWDINS,Dual Sim,3.81 cm (1.5 inch),128 x 128 Pixels,NA,2G,800 mAh
"Redmi Note 7S (Astro Moonlight White, 32 GB)  (3 GB RAM)",MZB8006IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,32 GB,3 GB,48MP + 5MP,2G,4000 mAh
"OPPO A83 (2018 Edition) (Red, 64 GB)  (4 GB RAM)",Dual Sim,14.48 cm (5.7 inch),1440 x 720 Pixels,MT6763T,Octa Core,64 GB,4 GB,13MP,"3G, 4G VOLTE, 2G",3180 mAh
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)  (4 GB RAM)",SM-A507FZLVINS,Dual Sim,16.26 cm (6.4 inch),2340 x 1080 Pixels,Exynos 9611 - Octa-Core,Octa Core,128 GB,4 GB,48MP + 5MP + 8MP,"4G, 3G, 2G",4000 mAh
"Google Pixel 3a XL (Clearly White, 64 GB)  (4 GB RAM)",G020B,Single Sim,15.24 cm (6 inch),2160 x 1080 pixels,Qualcomm Snapdragon 670,Octa Core,64 GB,4 GB,12.2MP,"3G, 4G VOLTE, 4G, 2G",3700 mAh
Nokia 3310 DS  (Yellow),TA-1030/NOKIA 3310 DS,Dual Sim,6.1 cm (2.4 inch),240 x 320 pixels,16 MB,2MP,2G,1200 mAh
"Google Pixel 3 (Not Pink, 64 GB)  (4 GB RAM)",G013A,Single Sim,13.97 cm (5.5 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845 64-bit,Octa Core,64 GB,4 GB,12.2MP,"3G, 4G VOLTE, 4G, 2G",2915 mAh
"Google Pixel 3 (Not Pink, 128 GB)  (4 GB RAM)",G013A,Single Sim,13.97 cm (5.5 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845 64-bit,Octa Core,128 GB,4 GB,12.2MP,"3G, 4G VOLTE, 4G, 2G",2915 mAh
"LG K9 4G LTE (Black, 16 GB)  (2 GB RAM)",LMX210IMW,Dual Sim,12.7 cm (5 inch),720 x 1280 Pixels,Qualcomm Snapdragon Quad core,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 2G",2500 mAh
"Samsung Galaxy A20s (Green, 64 GB)  (4 GB RAM)",SM-A207FZGGINS,Dual Sim,16.51 cm (6.5 inch),720 x 1520 Pixels,Qualcomm SDM450-B01,Octa Core,64 GB,4 GB,13MP + 8MP +  5MP,"4G, 3G, 2G",4000 mAh
"OPPO Reno2 F (Lake Green, 128 GB)  (8 GB RAM)",CPH1989,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,MTK MT6771V(P70) 64bit,Octa Core,128 GB,8 GB,"48MP + 8, 2, 2MP","4G, 2G, 3G",4000 mAh
Karbonn K9 Staar  (White),K9 Staar,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,0.08MP,2G,1000 mAh
"Lava Z51 (Gold, 16 GB)  (1 GB RAM)",Z51,Dual Sim,12.7 cm (5 inch),480 x 960 pixels,SC9832E,Quad Core,16 GB,1 GB,5MP,"3G, 4G VOLTE, 4G, 2G",2550 mAh
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)  (8 GB RAM)",SM-A707FZKWINS,Dual Sim,17.02 cm (6.7 inch),1080 x 2400 Pixels,Qualcomm SM6150,Octa Core,128 GB,8 GB,64MP + 5MP + 8MP,"4G, 3G, 2G",4500 mAh
"Redmi K20 Pro (Pearl White, 256 GB)  (8 GB RAM)",MZB8136IN,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 855,Octa Core,256 GB,8 GB,48MP + 13MP + 8MP,"4G VOLTE, 3G, 2G",4000 mAh
Lava Spark i8  (Red),Spark i8,Dual Sim,7.11 cm (2.8 inch),320 x 240 Pixels,32 MB,32 MB,1.3MP,2G,1200 mAh
Karbonn K2 Boom Box  (White),K2 Boom Box,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,32 MB,32 MB,0.3MP,2G,1000 mAh
"POCO F1 by Xiaomi (Rosso Red, 256 GB)  (8 GB RAM)",MZB7018IN,Dual Sim,15.7 cm (6.18 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845,Octa Core,256 GB,8 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
Micromax X380  (Black&Red),X380,Dual Sim,4.5 cm (1.77 inch),240 x 320$$Pixels,32 MB,32 MB,0.3MP,2G,2500 mAh
Niamia Cad V Combo of Two Mobiles  (Red),Cad V Combo of Two Mobiles,Dual Sim,4.57 cm (1.8 inch),320 x 240$$Pixels,32 MB,32 MB,0.08MP,2G,1000 mAh
Karbonn K19 Rock  (White&Grey),K19 Rock,Dual Sim,4.57 cm (1.8 inch),240 x 320$$Pixels,32 MB,32 MB,0.3MP,2G,1750 mAh
"Redmi 6A (Gold, 32 GB)  (2 GB RAM)",M1805D1S/M1804C3CI,Dual Sim,13.84 cm (5.45 inch),720 x 1440 Pixels,Mediateck,Quad Core,32 GB,2 GB,13MP,"3G, 4G VOLTE, 2G",3000 mAh
"Vivo Y91i (Fusion Black, 16 GB)  (2 GB RAM)",vivo 1820,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MTK Helio P22,Octa Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",4030 mAh
"OPPO A7 (Glaze Blue, 64 GB)  (3 GB RAM)",CPH1901,Dual Sim,15.75 cm (6.2 inch),1520 x 720 pixels,Qualcomm Snapdragon 450,Octa Core,64 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Samsung Galaxy A2 Core (Blue, 16 GB)  (1 GB RAM)",SM-A260GZBGINS,Dual Sim,12.7 cm (5 inch),540 x 960 pixels,Exynos 7870,Octa Core,16 GB,1 GB,5MP,"3G, 4G, 2G",2600 mAh
"Honor Play (Navy Blue, 64 GB)  (6 GB RAM)",COR-AL00,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 Pixels,Kirin 970 AI,Octa Core,64 GB,6 GB,16MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3750 mAh
"Honor Play (Midnight Black, 64 GB)  (6 GB RAM)",COR-AL00,Dual Sim,16.0 cm (6.3 inch),2340x1080 Pixels,Kirin 970 AI,Octa Core,64 GB,6 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3750 mAh
"Samsung Galaxy A30 (Black, 64 GB)  (4 GB RAM)",SM-A305FZKFINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 7904,Octa Core,64 GB,4 GB,16MP + 5MP,"3G, 4G, 2G",4000 mAh
"Samsung Galaxy A10s (Green, 32 GB)  (3 GB RAM)",SM-A107FZGGINS,Dual Sim,15.75 cm (6.2 inch),720 x 1560,MediaTek MT6762,Octa Core,32 GB,3 GB,13MP + 2MP,"4G, 3G, 2G",4000 mAh
"Samsung Galaxy A20 (Gold, 32 GB)  (3 GB RAM)",SM-A205FZDGINS,Dual Sim,16.26 cm (6.4 inch),720 x 1560 pixels,Exynos 7884B,Octa Core,32 GB,3 GB,13MP + 5MP,"3G, 4G, 2G",4000 mAh
